# section: strategy
name,Alpha AE6 MFI Williams Flush Fade 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,3.0
take_profit_pct,5.0
indicators,"mfi14(mfi, period=14), wr14(williams_r, period=14), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2025-07-29 ~ 2026-07-28 (UTC)
initial_capital,1000000 KRW
trading_bars,2185
2025-12-22 12:00:00 UTC,sell
2025-12-22 16:00:00 UTC,sell
2025-12-22 20:00:00 UTC,sell
2025-12-23 00:00:00 UTC,sell
2025-12-23 04:00:00 UTC,sell
2025-12-29 04:00:00 UTC,sell
2025-12-29 08:00:00 UTC,sell
2025-12-29 12:00:00 UTC,sell
2026-01-01 00:00:00 UTC,sell
2026-01-01 04:00:00 UTC,sell
2026-01-01 08:00:00 UTC,sell
2026-01-01 12:00:00 UTC,sell
2026-01-01 16:00:00 UTC,sell
2026-01-01 20:00:00 UTC,sell
2026-01-02 04:00:00 UTC,sell
2026-01-02 08:00:00 UTC,sell
2026-01-02 12:00:00 UTC,sell
2026-01-02 16:00:00 UTC,sell
2026-01-02 20:00:00 UTC,sell
2026-01-03 00:00:00 UTC,sell
2026-01-03 04:00:00 UTC,sell
2026-01-03 08:00:00 UTC,sell
2026-01-03 12:00:00 UTC,sell
2026-01-03 16:00:00 UTC,sell
2026-01-03 20:00:00 UTC,sell
2026-01-04 00:00:00 UTC,sell
2026-01-04 04:00:00 UTC,sell
2026-01-04 08:00:00 UTC,sell
2026-01-04 12:00:00 UTC,sell
2026-01-04 16:00:00 UTC,sell
2026-01-04 20:00:00 UTC,sell
2026-01-05 00:00:00 UTC,sell
2026-01-05 04:00:00 UTC,sell
2026-01-05 08:00:00 UTC,sell
2026-01-05 12:00:00 UTC,sell
2026-01-05 16:00:00 UTC,sell
2026-01-05 20:00:00 UTC,sell
2026-01-06 00:00:00 UTC,sell
2026-01-06 04:00:00 UTC,sell
