# section: strategy
name,Alpha AE9 Trend Pullback Continuation 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,5.0
take_profit_pct,12.0
indicators,"ema20(moving_average, type=EMA, period=20), ema50(moving_average, type=EMA, period=50), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
2025-12-30 00:00:00 UTC,sell
2025-12-30 04:00:00 UTC,sell
2025-12-30 08:00:00 UTC,sell
2025-12-30 12:00:00 UTC,sell
2025-12-31 16:00:00 UTC,sell
2025-12-31 20:00:00 UTC,sell
2026-01-01 00:00:00 UTC,sell
2026-01-01 08:00:00 UTC,sell
2026-01-07 12:00:00 UTC,sell
2026-01-07 16:00:00 UTC,sell
2026-01-07 20:00:00 UTC,sell
2026-01-08 00:00:00 UTC,sell
2026-01-08 04:00:00 UTC,sell
2026-01-08 08:00:00 UTC,sell
2026-01-08 12:00:00 UTC,sell
2026-01-08 16:00:00 UTC,sell
2026-01-08 20:00:00 UTC,sell
2026-01-09 00:00:00 UTC,sell
2026-01-09 04:00:00 UTC,sell
2026-01-09 08:00:00 UTC,sell
2026-01-09 12:00:00 UTC,sell
2026-01-09 20:00:00 UTC,sell
2026-01-11 12:00:00 UTC,sell
2026-01-19 00:00:00 UTC,sell
2026-01-19 04:00:00 UTC,sell
2026-01-19 08:00:00 UTC,sell
2026-01-19 12:00:00 UTC,sell
2026-01-19 16:00:00 UTC,sell
2026-01-19 20:00:00 UTC,sell
2026-01-20 00:00:00 UTC,sell
2026-01-20 04:00:00 UTC,sell
2026-01-20 08:00:00 UTC,sell
2026-01-20 12:00:00 UTC,sell
2026-01-20 16:00:00 UTC,sell
2026-01-20 20:00:00 UTC,sell
2026-01-21 00:00:00 UTC,sell
2026-01-21 04:00:00 UTC,sell
2026-01-21 08:00:00 UTC,sell
2026-01-21 12:00:00 UTC,sell
2026-01-21 16:00:00 UTC,sell
2026-01-21 20:00:00 UTC,sell
2026-01-22 00:00:00 UTC,sell
2026-01-22 04:00:00 UTC,sell
2026-01-22 08:00:00 UTC,sell
2026-01-22 12:00:00 UTC,sell
2026-01-22 16:00:00 UTC,sell
2026-01-22 20:00:00 UTC,sell
2026-01-23 00:00:00 UTC,sell
2026-01-23 04:00:00 UTC,sell
2026-01-23 08:00:00 UTC,sell
2026-01-23 12:00:00 UTC,sell
2026-01-23 16:00:00 UTC,sell
2026-01-23 20:00:00 UTC,sell
2026-01-24 00:00:00 UTC,sell
2026-01-24 04:00:00 UTC,sell
2026-01-24 08:00:00 UTC,sell
